;created_at;favorite_count;id_str;is_retweet;retweet_count;source;text;sentiment
1670;Fri Jul 31 15:46:19 +0000 2015;2420.0;627143258154471424;0.0;847.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";Sign @OFA's birthday card for President Obama: http://t.co/ZdPdn9EEnG #44Turns54 http://t.co/58CrYK8VU5;0.0
1671;Thu Jul 30 22:26:23 +0000 2015;0.0;626881552555741184;0.0;573.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";RT @MedicareGov: For 50 years #Medicare #Medicaid have been changing American lives. Happy Birthday #Medicare! #KeepingUSHealthy http://t.c…;0.6114
1672;Thu Jul 30 21:17:22 +0000 2015;6952.0;626864183045419009;0.0;2531.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";Help President Obama cap off a great year. Wish him a happy birthday: http://t.co/IgiBLr6ZzI #44Turns54 http://t.co/fCnSmJTUw1;0.9217
1673;Thu Jul 30 19:44:57 +0000 2015;0.0;626840924782358528;0.0;1495.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";RT @BarbraStreisand: 97% of scientists agree, climate change is real and humans are a significant contributor. It’s time to #ActOnClimate;0.5106
1674;Thu Jul 30 17:33:14 +0000 2015;2689.0;626807776707112960;0.0;1391.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";Solar energy is booming. #ActOnClimate http://t.co/sQ8YnZhOT0;0.2732
1675;Thu Jul 30 16:13:11 +0000 2015;0.0;626787634279387137;0.0;3193.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"RT @WhiteHouse: Climate change threatens every country on the planet.
No nation is immune.
RT if you agree we need to #ActOnClimate. http:/…";-0.0258
1676;Wed Jul 29 16:40:31 +0000 2015;2053.0;626432123340128256;0.0;878.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";You don't have to be a policy expert to make a difference on issues like climate change: http://t.co/sFa47ryB64;0.3612
1677;Tue Jul 28 21:35:37 +0000 2015;1924.0;626143999196180480;0.0;860.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";ICYMI: Some of America's largest businesses are investing in clean energy to cut carbon pollution. http://t.co/RjulSvDQ2S #ActOnClimate;0.4019
1678;Tue Jul 28 19:52:37 +0000 2015;1821.0;626118081249611777;0.0;834.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";Study shows #Obamacare leads to fewer uninsured Americans, better health, and improved access to care: http://t.co/BHHop7ZRU6;0.8481
1679;Tue Jul 28 16:14:55 +0000 2015;815.0;626063294223093760;0.0;347.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";Read how @OFA is training the next generation of digital organizers: http://t.co/ztqzw1tVjg #OFAFellows http://t.co/BBKr9KzZnK;0.0
1680;Mon Jul 27 21:33:40 +0000 2015;1228.0;625781121276481536;0.0;463.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";Join the team that's spreading the truth on the most important issues: http://t.co/DA41tujpkV;0.6801
1681;Mon Jul 27 18:20:30 +0000 2015;4331.0;625732508504621057;0.0;1650.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";It's the final week of #NationalIceCreamMonth—better take advantage. http://t.co/WQk1T37XhU;0.25
1682;Mon Jul 27 16:01:52 +0000 2015;1911.0;625697620904644608;0.0;903.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";American businesses are pledging $140 billion to reduce carbon pollution and #ActOnClimate: http://t.co/f81RNHZVRq;0.0
1683;Sat Jul 25 21:00:16 +0000 2015;1990.0;625047942320271365;0.0;859.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";"""We should reward drive, innovation, and fair play. That’s what Wall Street reform does."" —President Obama http://t.co/rGB5qX5ebE";0.875
1684;Sat Jul 25 20:04:56 +0000 2015;1118.0;625034015016357888;0.0;393.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";In the weekly address, President Obama discusses the progress we've made because of Wall Street reform: http://t.co/rGB5qX5ebE;0.4215
1685;Fri Jul 24 21:13:22 +0000 2015;1335.0;624688849873145856;0.0;621.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";See what your state's minimum wage is with this state-by-state tracker: http://t.co/uXqZr47QeI #RaiseTheWage;0.0
1686;Fri Jul 24 19:06:17 +0000 2015;1355.0;624656867583750144;0.0;590.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";Some states are making real progress to #RaiseTheWage. Read more: http://t.co/6wtxa7AY8m;0.4215
1687;Fri Jul 24 17:23:26 +0000 2015;1036.0;624630982667276289;0.0;399.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";Have questions about the historic #IranDeal? Follow @TheIranDeal for information and updates. #FF;0.0
1688;Thu Jul 23 21:51:04 +0000 2015;1936.0;624335950894768128;0.0;890.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";Investing in energy efficiency and renewable energy will help cut consumer electricity bills. Read more: http://t.co/tmFMYxCR7B;0.743
1689;Thu Jul 23 19:52:54 +0000 2015;1450.0;624306211026944000;0.0;619.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";States across the country are taking action to #RaiseTheWage for hard-working residents: http://t.co/NAcMibPomz;0.0
1690;Thu Jul 23 17:47:22 +0000 2015;2369.0;624274620691140610;0.0;1194.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";Great news: Jobless claims just fell to the lowest level in four decades. http://t.co/sBG4AoHEvf;0.3612
1691;Thu Jul 23 16:17:49 +0000 2015;1459.0;624252081906450432;0.0;631.0;"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>";Carbon pollution from power plants is being reduced, even as the economy grows. Read more: http://t.co/djv2Wdqa9i #ActOnClimate;0.0
